Auracle,MioXL -  MAC STUDIO,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send Clock,Editor,Notes
,CV Out,1,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gate Out,1,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bend Out,1,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aux Out,1,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOCATION = DESK W ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cirklon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midi Solutions Merger,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination ,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,Midi Filter,Recieve Clock,Send Clock,Editor,Notes
,Merger A In,1,←,,,,,,,Prophet 6 Midi Din Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger A In,2,←,,,,,,,Stagebox A Out (MPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger A Out,1,→,,,,,,→,Cirklon Port 1 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger A Out,2,→,,,,,,→,Merger D In 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger B In,1,←,,,,,,←,Cirklon Port 2 Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger B In,2,←,,,,,,,Stagebox B Out (MPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger B Out,1,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger B Out,2,→,,→,Midi Solutions Merger E 1 in,,,→,MioXL KB ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger C In,1,←,,,,,,←,Cirklon Port 3 Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger C In,2,←,,,,,,,Stagebox D Out (MPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger C Out,1,→,,→,Midimizer 1 Din in > cat 5,→, cat 5 > Midimizer 2 Din out,→,MioXL KB E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger C Out,2,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger D In,1,←,,,,,,←,Cirklon Port 1 Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger D In,2,←,,,,,,←,Merger A Out 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger D Out,1,→,,,,,,→,MioXL MAC PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merger D Out,2,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midimizer 1,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,Midi Filter,Recieve Clock,Send Clock,Editor,Notes
,Midimizer Out ,1,→,,→,cat 5,→,Midimizer 2,→,MioXL KB E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midimizer In,1,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
