RTP LANE NUMBER,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,,
Clock Destinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MioXM - CR W DESK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MIDI CHANNELS,Direction,,SYN 1,,SYN 2,,SYN 3,,SYN 4,,SYN 5,,SYN 6,,GUEST.1,,SEQ.1,,CTRL.1,,B.CLK.1,,B.CLK.2,,DRUM 1,,B.CLK.3,,EDIT.1,,MISC.FX 1,,CTRL.2,,CTRL.3,,CTRL 4,,CTRL.5,,CTRL.6,,CTRL.7,,GUEST.2,,,
RTP GROUP,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,,
DAW USB PORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiator,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,
bonjour,,,,,,,,,,,,,,,,,,,,BONJOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,→,,,,,,,,,,,,MPU 1 / S 100m,,KS port 3 - 1,,,,,,,,,,,,,,,,VP-9000 A,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,MPU 2 / S 101,,KS port 3 - 2,,,,,,,,,,,,,,,,VP-9000 B,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,MPU 3 / S 102,,KS port 3 - 3,,,,,,,,,,,,,,,,VP-9000 C,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,MPU 4 ,,KS port 3 - 4,,,,,,,,,,,,,,,,VP-9000 D,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,KS port 3 - 5,,,,,,,,,,,,,,,,VP-9000 E,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,KS port 3 - 6,,,,,,,,,,,,,,,,VP-9000 F,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,M1000B2,,KS port 3 -7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,KS port 3 - 8,,,,,,,,,,,,,,,,Warp Factory,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,Usb A - Host - 9,,,,,,,,,,,,,,,,Digitech Vocalist ,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,Usb A - Host -10,,,,,,,,,,,,,,,,Korg DVP-1,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,Guest Drawer ,,Usb A - Host - 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,Guest 2 Drawer,,Usb A - Host - 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
